length,count,example
1,22,N
2,106,Ea
3,788,Vad
4,2660,Rymr
5,5429,Dwoom
6,9037,Datura
7,11125,Mindfar
8,13058,"The Evil"
9,12538,Cryptogod
10,10468,Totenwache
11,8663,"Break Point"
12,7869,"Poetic Grave"
13,6908,"Shaman Ritual"
14,5974,"Enter the Soil"
15,4843,SDreamExplorerS
16,4050,"King Kelkemmenar"
17,3235,"Center of Disease"
18,2365,"Dark Matter Secret"
19,1793,"Everlasting Carnage"
20,1234,"Wrath and Redemption"
21,872,"Anthropophagus Maniac"
22,596,"The Quantum Possession"
23,389,"Baphometic Deathslaught"
24,257,"Sacrificed with a Scythe"
25,193,"Satanic Holocaust Warfare"
26,148,"Cultus Sanguinem Maledicta"
27,133,"La Rebelión de las Gárgolas"
28,79,"Post Traumatic Slam Disorder"
29,55,"Ultimate Abyssic Serpent Lord"
30,55,"Darkest Sorrow Bears Mortality"
31,34,"Flowers to the Welshman at Dusk"
32,24,"Bees Made Honey in the Vein Tree"
33,27,"Peter Grusel und die Unheimlichen"
34,18,"Pigs Pigs Pigs Pigs Pigs Pigs Pigs"
35,11,"Karyn Crisis' Gospel of the Witches"
36,11,"Loneliness over Schizophrenic Trauma"
37,12,"The Extraordinary House of Impossible"
38,7,"Regurgimentação Necrovaginal Sangrenta"
39,4,"Undying Lust for Cadaverous Molestation"
40,4,"Look the Part, Be the Part, Motherfucker"
41,3,"Solar Flare & the Sperm Whales of Passion"
42,2,"Swarming Vulgar Mass of Infected Virulency"
43,4,"Wheelchair Wheelchair Wheelchair Wheelchair"
44,4,"Wolfheart Feat. The Malavita Antisocial Club"
48,2,"Disgorgement of Intestinal Lymphatic Suppuration"
49,1,"Trippy Wicked & the Cosmic Children of the Knight"
50,2,"The Morgrotuskthululustoccultobskullty Horrormance"
51,1,"Eximperituserqethhzebibšiptugakkathšulweliarzaxułum"
52,1,"Vaginal Penetration of an Amelus with a Musty Carrot"
53,1,"The Northern Ontario Black Metal Preservation Society"
54,2,"Seagulls Insane and Swans Deceased Mining Out the Void"
67,1,"The Sustained Low 'C' of Richard Strauss' ""Also Sprach Zarathustra"""
